imie,wystapienia_pierwsze,wystapienia_drugie,pochodzenie,opis_html
Justyna,216299,74767,,"<b>Justyna</b> – żeński odpowiednik <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imienia</a> <a href=""https://pl.wikipedia.org/wiki/Justyn_(imi%C4%99)"" target=""_blank"" rel=""noopener noreferrer"">Justyn</a>. Imię pochodzenia łacińskiego od słowa „iustus”, co oznacza „sprawiedliwy”. Wśród imion nadawanych nowo narodzonym dzieciom, Justyna zajęła 49. miejsce w grupie imion żeńskich w 2009 roku."
Urszula,180127,100458,,"<b>Urszula</b> – <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> żeńskie pochodzenia <a href=""https://pl.wikipedia.org/wiki/%C5%81acina"" target=""_blank"" rel=""noopener noreferrer"">łacińskiego</a>, od łacińskiego <a href=""https://pl.wikipedia.org/wiki/Nazwisko#Przydomek_(cognomen)"" target=""_blank"" rel=""noopener noreferrer"">przydomka</a> <i>Ursula</i>, który stanowi zdrobnienie od wyrazu pospolitego <i>ursa</i> (niedźwiedzica); można je zatem tłumaczyć jako „niedźwiedziczka”. W Polsce imię to notowano od XIV wieku w formie Urszula (od 1367) i Orszula (także od 1367), a także łacińskiej <i>Ursula</i>. Możliwe staropolskie zdrobnienia: Ula; z łac. <a href=""https://pl.wikipedia.org/wiki/Przyrostek"" target=""_blank"" rel=""noopener noreferrer"">przyrostkiem</a>: Ulita, wschodniosł.: Ulicha. Przez stulecia imię Urszula było rzadkie, a w XIX wieku uchodziło za staromodne i pretensjonalne. Popularność zyskało w XX wieku."
Zuzanna,231506,45768,,"18&#160;stycznia, 11&#160;maja, 24&#160;maja, 6&#160;lipca, 11&#160;sierpnia, 19&#160;września, 17&#160;października"
Bożena,194754,79750,slowianskie,"<b>Bożena</b> – żeńskie <a href=""https://pl.wikipedia.org/wiki/Imiona_s%C5%82owia%C5%84skie"" target=""_blank"" rel=""noopener noreferrer"">imię pochodzenia słowiańskiego</a>, utworzone poprzez dodanie do rdzenia <i>boż-</i> (od „Bóg”) przyrostka zdrabniającego <i>-ana</i> lub <i>-ena</i>. Imię to zanotowano w dawnych dokumentach w formach <i><b>Bożana</b></i> i <i><b>Bożechna</b></i>, natomiast forma <b>Bożena</b> była znana w języku czeskim, a w Polsce zaczęła się pojawiać regularnie dopiero w <a href=""https://pl.wikipedia.org/wiki/XIX_wiek"" target=""_blank"" rel=""noopener noreferrer"">XIX wieku</a>."
Weronika,151660,118627,greckie,"<b>Weronika</b> – <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> żeńskie pochodzenia greckiego. Późniejsza forma imienia <a href=""https://pl.wikipedia.org/wiki/Berenika_(imi%C4%99)"" target=""_blank"" rel=""noopener noreferrer"">Berenike</a>. Etymologia imienia wywodzona jest z <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_grecki"" target=""_blank"" rel=""noopener noreferrer"">gr.</a> φέρω <i>phero</i> – ""niosę"" i νίκη <i>nike</i> – ""zwycięstwo"". Oznacza zatem <i>tę, która zwycięża</i>. W średniowieczu imię było błędnie przypisywane słowom <i>vera</i> (<a href=""https://pl.wikipedia.org/wiki/%C5%81acina"" target=""_blank"" rel=""noopener noreferrer"">łac.</a> – prawdziwa) i <i>eikon</i> (gr. – obraz). Nawiązywano w ten sposób do legendy o <a href=""https://pl.wikipedia.org/wiki/%C5%9Awi%C4%99ta_Weronika"" target=""_blank"" rel=""noopener noreferrer"">św. Weronice</a>, która otarła chustą twarz <a href=""https://pl.wikipedia.org/wiki/Jezus_Chrystus"" target=""_blank"" rel=""noopener noreferrer"">Chrystusowi</a>. Powstały w ten sposób na chuście wizerunek określany był jako prawdziwy wizerunek Chrystusa – Veraikon."
Hanna,231647,36833,,
Agata,184481,81435,,"<b>Agata</b> – imię żeńskie, pochodzące od przymiotnika <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_grecki_klasyczny"" target=""_blank"" rel=""noopener noreferrer"">stgr.</a>&#160;ἀγαθός („dobry”), w Polsce znane od XIII wieku."
Sylwia,181946,73064,,
Renata,185837,58268,,"<b>Renata</b> – <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> żeńskie pochodzenia łacińskiego. Oznacza odrodzona. Imię pojawiło się w Polsce w XVII wieku pod wpływami francuskimi."
Izabela,159119,79878,,"<b>Izabela</b> – spolszczenie imienia <i>Isabel</i>, tj. albo <a href=""https://pl.wikipedia.org/wiki/%C5%9Aredniowiecze"" target=""_blank"" rel=""noopener noreferrer"">średniowiecznego</a> <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_oksyta%C5%84ski"" target=""_blank"" rel=""noopener noreferrer"">oksytańskiego</a>, następnie rozpowszechnionego w <a href=""https://pl.wikipedia.org/wiki/Hiszpania"" target=""_blank"" rel=""noopener noreferrer"">Hiszpanii</a> i szerzej w <a href=""https://pl.wikipedia.org/wiki/Europa_Zachodnia"" target=""_blank"" rel=""noopener noreferrer"">Europie Zachodniej</a> odpowiednika imienia <a href=""https://pl.wikipedia.org/wiki/El%C5%BCbieta"" target=""_blank"" rel=""noopener noreferrer"">Elżbieta</a>, pochodzącego od <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_hebrajski"" target=""_blank"" rel=""noopener noreferrer"">hebrajskiego</a> אלישבע (Wj 6,23) <i>eliszewa</i> („mój Bóg przysięgą”), albo pochodzi ono od imienia <a href=""https://pl.wikipedia.org/wiki/Izebel"" target=""_blank"" rel=""noopener noreferrer"">biblijnej królowej <i>Jezabel</i></a>, której imię oznacza w hebrajskim „wywyższona przez <a href=""https://pl.wikipedia.org/wiki/Baal"" target=""_blank"" rel=""noopener noreferrer"">Baala</a>”."
